,Category (service/promo),,in category write down the se
"Get Rs.52,26,000 on maturity   life cover Invest Rs 4650/- Per Month for 10yrs Income starting 2nd yr, till 99yrs*T&C.Know more trku.in/gjq/FHbzqBJ POLICY KARLO",Promotional,,
"Dear Customer, Invest Rs 146/- per Days for 10yrs.Get Rs.52,26,000 on maturity life cover*T&C Know more trku.in/MPy/y73EBVT POLICY KARLO",Promotional,,
"Dear 82204784XX Prize Pool: 4,00,00,000 (4 cr)* Enter RummyCircle's 101 Pool Rumble now: http://gmg.im/jOmN6S Optout sms RCOUT to 56161 *T&C  -Ace Sports",Promotional,,
"? ?????????? ?????? ?????????????????, ???????? ???????????? ???? ? ?????? ???????????,?????? DoT ????-????????? 1800110420/1963?? ???????????.",Promotional,,
"Dear Toibur, Save big on health checks. Book a Vitamin D test @ Rs.249 & get FREE Horlicks Women's Plus. Tap https://hrjs.in/IIwkbS Apollo 24|7 *TCA",Service,,
Premium due from 10/2023 to 10/2023 under your SSS Policy No. 207676723 is adjusted on 28/11/2023. Next premium falls due on 28/11/2023 -LIC,Service,,
"Dear Customer, premium due from 10/2023 to 10/2023 under policy no. 295013689 is adjusted on 28/11/2023. Next Premium falls due on 04/2024.-LIC of India",Promotional,,
"lick Here https://g.navi.com/1BTofaDear Hanuman, your Navi Cash loan is approved. Go to the Navi App now to get instant bank transfer C",Promotional,,
"Dear 99670182XX Prize Pool: 4,00,00,000 (4 cr)* Enter RummyCircle's 101 Pool Rumble now: http://gmg.im/jOjq5K Optout sms RCOUT to 56161 *T&C  -Ace Sports",Promotional,,
"Hi Customer, avail a pre-approved personal loan of Rs. 285000 from IDFC FIRST Bank through a seamless digital journey. Apply now https://idfcfs.in/DJEYqg TCA",Promotional,,
"Thank you for shopping @ GRT Jewellers. Shop Online at grtjewels.com and get 3% OFF on jewellery order above Rs.25,000 (Max discount value is Rs.3,000). Use GWO3000 Coupon Code valid only for online purchase for 30 days. Not valid on gold coin. T&C Apply.",Promotional,,
"Dear A,  Your health, your rules. Get up to 70% OFF on Health Devices! Tap for 2-hr* delivery https://hrjs.in/vxyXap Apollo 24|7",Promotional,,
You have successfully got 20000INR ! Please get it as soon as possible !https://tinyurl.com/5dh5tr4y -FOCUSED CASH,Promotional,,
"cutt.ly/Pww1Junn. Congratulations, Your Loan amount of rupees 30000. has been disbursed to your bank account. credigen",Promotional,,
"Kreditcow Dear Customer,60000 INR has been approved,Register Now! App download link https://tinyurl.com/5dh5tr4y -FOCUSED CASH",Promotional,,
"Athena-Godrej, Indira-Nagar, Bengaluru. Specially-Crafted, Greco-Roman-Style. 3BHK,upto-2051-Sqft. from-2.29Cr, E:-Catalogue- https://wa.link/athena-godrej",Promotional,,
L&T Realty 77 Crossroads Ghatkopar\nEastern Express Highway\nNew Tower Balcony Homes\n1BHK 1.15Cr\n2BHK 1.64Cr\n3BHK 2.49Cr\nAll In \nContact: 09513392866\nbit.ly/lnt77,Promotional,,
"LIC Premium Rs.*****9693.30 for Policy No. 249091434 due on 11/2023. You can pay online by https://ebiz.licindia.in/D2CPM/#Login. Please ignore, if paid.",Service,,
"LIC Premium Rs.*****5571.60 for Policy No. 249091047 due on 11/2023. You can pay online by https://ebiz.licindia.in/D2CPM/#Login. Please ignore, if paid.",Promotional,,
"Hi Gautam, PAN + Aadhaar + 5 mins = Instant Personal Loan Get up to Rs.2 Lakhs Instantly weurl.co/HyIH02 Team KISSHT",Promotional,,
"lick Here https://g.navi.com/24EKpTDear Harshit, your Navi Cash loan is approved. Go to the Navi App now to get instant bank transfer C",Service,,
1 missed call s  received on 28-11-2023 while you were unreachable. Get details of your missed calls  ONLY on Airtel Thanks App i.airtel.in/alert,Promotional,,
"Dear 63628519XX Prize Pool: 4,00,00,000 (4 cr)* Enter RummyCircle's 101 Pool Rumble now: http://gmg.im/fDc4t6 Optout sms RCOUT to 56161 *T&C  -Ace Sports",Promotional,,
"Hey User, AXIS Bank- Get your Pre-qualified AXIS bank Card with a limit of upto Rs.2,50,000 -. Confi rm your details Now : https://1kz5.com/2193/aaadtr0wo8",Promotional,,
"Hey User, AXIS Bank- Get your Pre-qualified AXIS bank Card with a limit of upto Rs.2,50,000/-. Confirm your details Now : https://1kz5.com/2193/aaadtr0wo8",Promotional,,
"s://1kz5.com/2178/aaadtr0wo8Good News..   Your Loan Amount for Rs.99,000 - Is Successfully Approved Check Your Loan Status: http",Promotional,,
"Good News..!! Your Loan Amount for Rs.99,000/- Is Successfully Approved Check Your Loan Status: https://1kz5.com/2178/aaadtr0wo8",Promotional,,
"Hi there, submit Freo Pay application to get up to Rs.10,000. Scan any QR code to pay with your Freo Pay balance. a1.freopay.com/77WxzNY",Promotional,,
"Dear Customer, Get Upto 60% OFF in EYECONIC Sale Lenskart Gold Member Exclusive: BUY1 GET1 + 60%OFF on 3rd frame onwards.TnC Store lskt.me/m8 App lskt.me/q8",Service,,
Your a/c no. XXXXXXXX3474 is debited for Rs.1.03 on 23-11-2023 13:27:33  (UPI Ref no 332775045063),Promotional,,
Dear Customer Newly Open Bngkk Nuru Masage Full Body Masage & Scrub Best Services With Jacuzi Bath At  Ghansoli 7506350691 / 7506359405  RIOM,Promotional,,
"Hey User, AXIS Bank- Get your Pre-qualified AXIS bank Card with a limit of upto Rs.3,50,000 -. Confi rm your details Now : https://1kz5.com/2198/aaadlfuaxu",Promotional,,
"Good News..!! Your Loan Amount for Rs.98,000/- Is Successfully Approved Check Your Loan Status: https://1kz5.com/2207/aaaememp0k",Service,,
"Dear Customer, Please update your 'SUDICO Mobile Banking' application from source for security reasons. - SUDICO",Service,,
SBIDSAtryingtospammeWithdifferentnumbers,Service,,
Hi 946492xxxx  Loan amount of Rs 420000 Can Be ready to be disbursed. Confirm your details l01.in/ilf4v4!8q2ehn2 - Credit Mantri,Promotional,,
"Hi, Your birthday is coming soon It is time to buy a 1Cr Term Plan for Rs.5603 rather paying Rs.5814 after bday. Click https://pbzar.in/BIQ5nz  Paisabazaar",Promotional,,
"Hi, Your birthday is coming soon It is time to buy a 1Cr Term Plan for Rs.5603 rather paying Rs.5814 after bday. Clickhttps://pbzar.in/BIQ5nz  Paisabazaarhttps://pbzar.in/BIQ5nz  Paisabazaar",Promotional,,
Instant money with pre-approved loan of Rs. 500000 from FEDERAL BANK. Minimal documentation. Click http://nc7.in/VkP2eoXf Paisabazaar,Promotional,,
"Dear Toibur,  Heal naturally! This Super Savings Sale get Ayurvedic products at up to 50% OFF + 2-Hr* delivery. Tap https://hrqs.in/usr2x2 Apollo 24|7",Promotional,,
"Good News..   Your Loan Amount for Rs.98,000 - Is Successfully Approved Check Your Loan Status: http s://1kz5.com/2207/aaaeoh2g0u",Promotional,,
Sending false OTP,Service,,
"Hi, Get covered till 85, with an option of paying premiums till 60! Buy your Max Life term plan starting at @Rs.700/month~ to protect your family, and join our family of 35 lakh+ customers*. Click to continue http://m.max-life.in/VkFnggsG ~T&Cs",Promotional,,
"Repair ref.no for your car is JC23008412 opened on 29/NOV/2023 19:22hrs,ETD of your car is 07/DEC/2023 19:21hrs and est.repair amt is Rs.0.To download MSR App, please click http://onelink.to/servicesms Rgds,SRI JAYARAMA",Service,,
"Dear Customer, Your PNR 4712398048 + 1 with PA Ins No 211623000197828707. Premium Rs 0.70. To update nominee visit www.libertyinsurance.in Liberty General Ins",Service,,
"Hello Teen Patti Stars users, Your gaming Wallet balance is Rs. 300 Free trial /- To add money to your wallet visit: https://r.3pattimaster.com Thx.",Promotional,,
"Dear TANMAY, your Navi Cash loan is approved. Go to the Navi App now to get instant bank transfer Click Here https://g.navi.com/1z64BG",Promotional,,
"Dear TANMAY, your Navi Cash loan is approved. Go to the Navi App now to get instant bank transfer Click Here https://g.navi.com/1z64BG",Promotional,,
"Hello M, Instant cash alert! Click to grab a personal loan of up to Rs.10 Lakh! https://tneu.in/grRWJWsd Limited time offer, T&C apply - Tata Neu",Promotional,,
"Mrs. Vinita Received Rs. 60,000* by activating Mobikwik Zip. Get Rs. 60,000* credited to your Mobikwik account.  Install http://1kx.in/ANzWN1 -MobiKwik",Promotional,,
"Mrs. Vinita Received Rs. 60,000* by activating Mobikwik Zip. Get Rs. 60,000* credited to your Mobikwik account.  Install http://1kx.in/vyW4tU -MobiKwik",Promotional,,
"ALERT: Your Application is PENDING for Month-end Scholarship of SAP MM Course by Henry Harvin. Deadline: 30th Nov, 11:59pm. Chat: bit.ly/3oHAbtM",Promotional,,
Hi 628027xxxx  Loan amount of Rs 420000 Can Be ready to be disbursed. Confirm your details l01.in/io7cnb!5r5aqip - Credit Mantri,Promotional,,
"Just a friendly reminder: Activate your OneCard and enjoy shopping with welcome gift worth Rs.2000. Get Now https://c.1rp.in/1/TbzHO T&C apply
- OneCard",Promotional,,
"Hi, We have got an offer for you. Activate your OneCard before 30 Nov'23 & get welcome benefit of Rs. 2000 Tap here https://c.1rp.in/1/TIUtl ! T&C
-OneCard",Promotional,,
Dear UPI user A/C X4482 debited by 150.0 on date 29Nov23 trf to MINA DAS Refno 369908561645. If not u? call 1800111109. -SBI,Service,,
iApp-Bookings Open Paradigm Anantaara Borivali W 2 3 4 Bed 699 1600Sq Ft from 1 99Cr Infinity Pool Ceiling Height 11Ft E Catalogue,Promotional,,
Dear Customer Your Rs.5000 Reward Point Has been suspended Today Please update your I.CICI Credit Card immediately https://rb.gy/pw5ler VISHNU MILK,Service,,
"lick Here https://g.navi.com/1nvvvSDear Harshit, your Navi Cash loan is approved. Go to the Navi App now to get instant bank transfer C",Promotional,,
"Bookings-Open, Paradigm-Anantaara, Borivali-W, 2/3/4-Bed, 699-1600Sq.Ft. from-1.99Cr Infinity-Pool, Ceiling-Height-11Ft. E.-Catalogue- https://wa.link/paradigm",Promotional,,
"Hi, Instant Cash Loan up to Rs.100,000 is ready to be disbursed. Direct Bank Transfer, 100% Online Submit details now http://gmg.im/gKDUSX - SmartCoin",Promotional,,
"NEW LIMIT ALERT: Shrikant, your Loan amount against Visitor ID 89ceb93739 is ready for review. Check Now: http://nc6.in/kcc0rW *T&C Bajaj Markets App",Promotional,,
ANNOUNCEMENT: You are eligible for a Home Loan Balance Transfer offer of Rs. 6198042. Claim on Bajaj Markets App:http://nc6.in/k2zsl0  *T&Chttp://nc6.in/k2zsl0  *T&C,Promotional,,
ANNOUNCEMENT: You are eligible for a Home Loan Balance Transfer offer of Rs. 6198042. Claim on Bajaj Markets App: http://nc6.in/k2zsl0  *T&C,Promotional,,
"Hi ????? ???? ?? ?????? ???? ???? ???? ?? ???? ?????? ?????,????1.80 ??? ?? ???? ????? ???? ????? ?????? ??????? Ph.9877526399 BJTC",Service,,
"Hi Champati, UPI transactions using a credit card? Yes, it's possible with YES Bank Freo Credit Card. Get your card now. a1.moneytap.com/1woNPEg",Promotional,,
iApp-Limited Edition Residences 6 1 Acres freehold Prime Land Adjacent to Viviana Mall 991 2744Sq Ft from 2 48Cr E Brochure https,Service,,
"Dear customer, your DTDC OTP is 774924. OTP is valid for 10 minutes. Happy Shipping.",Promotional,,
"Hi there, don't let your career stagnate! Earn a DBA. Unlock unlimited growth opportunities. Click ct1.io/2qB3uvx to enroll now! upGrad",Promotional,,
Instant money with pre-approved loan of Rs. 500000 from FEDERAL BANK. Minimal documentation. Click http://nc7.in/VkZrMBfN Paisabazaar,Service,,
YourmeetingisfixedFemlePrtnervisitontimeforMeetingformoredetailsconnectwithusDIETPLANnopayel9749644010ANU,Promotional,,
"Hey User, AXIS Bank- Get your Pre-qualified AXIS bank Card with a limit of upto Rs.3,75,000 -. Confirm your details Now : https://1kz5.com/2223/aaaeud21rz",Promotional,,
"Hey User, AXIS Bank- Get your Pre-qualified AXIS bank Card with a limit of upto Rs.3,75,000/-. Confirm your details Now : https://1kz5.com/2225/aaaee6qm8s",Promotional,,
"Dear Sir,
LIMITED TIME OFFER: Apply now and get a Rs 20,000,00 business loan from FlexiLoans without collateral. tlux.in/jD69x",Promotional,,
"Hi Prashant,as wishfin user,Get customised loan options with MoneyView Personal Loan of upto 5lac.To check eligibility Click wfds.in/pZk9M6kCD -Wishfin",Promotional,,
"Hey selva kumar, end the month with even bigger savings! Shop jumbo deals from Colgate at up to 18% off. Check it out here -> https://amzn.to/49PXa8S",Promotional,,
iApp-Welcome to the Kotak Securities family Resume your Demat account opening journey here http nc6 in kcNaaK T C Kotak Securities,Promotional,,
Please take action agaisnt this company for irritating people.,Promotional,,
Please take action agaisnt this company for irritating people.,Promotional,,
iApp-CERTIFIED Hands on DIPLOMA course in GYNAECOLOGY at Gynae Bliss Cosmetic Centre New Delhi on 17th Dec 2023 Call 7705877777 HEAGER,Promotional,,
"Hi Ashish,as Wishfin user, avail KreditBee prequalified personal loan upto 4lacs with hassle-free documentation. Apply Now wfds.in/DLDPWy7Tp -Wishfin",Promotional,,
"EMI Alert!
EMI Rs. 2,067 for 410DPFJV346817 due on 02/12/23. Keep ac 5358 funded & avoid charges. Know more  https://r.bflcomm.in/KU4nwK8k 
Bajaj Finance Ltd",Service,,
Please take action agaisnt this company for irritating people.,Promotional,,
Please take action agaisnt this company for irritating people.,Promotional,,
Hi 886159xxxx Loan amount of Rs 420000 Can Be ready to be disbursed. Confirm your details l01.in/is877q!88328ni - Credit Mantri,Promotional,,
"Dear customer, your DTDC OTP is 534924. OTP is valid for 10 minutes. Happy Shipping.",Service,,
"Dear customer, your DTDC OTP is 367843. OTP is valid for 10 minutes. Happy Shipping.",Service,,
"Dear customer, your DTDC OTP is 995422. OTP is valid for 10 minutes. Happy Shipping.",Service,,
D/P Your OTP is 342137.Share otp to collect your ward. From Smart Start Tekhok,Service,,
"Dear customer, your DTDC OTP is 163027. OTP is valid for 10 minutes. Happy Shipping.",Service,,
"Dear customer, your DTDC OTP is 775818. OTP is valid for 10 minutes. Happy Shipping.",Service,,
<#> 3871 is your OTP to register yourself on postpe. y4VPoGleiat,Service,,
Hi 808973xxxx  Loan amount of Rs 420000 Can Be ready to be disbursed. Confirm your details l01.in/irvfps!7h2v6ql - Credit Mantri,Promotional,,
3/4 BHK + Study + Servant Confirmed Allotment With Private Deck & Jacuzzi Opp Trump Tower is completed by  G Area  7*Club House 9990016866 - PSCL,Promotional,,
<#> 3858 is your OTP to register yourself on postpe. y4VPoGleiat,Promotional,,
"Dear customer, your DTDC OTP is 381311. OTP is valid for 10 minutes. Happy Shipping.",Service,,
"Dear customer, your DTDC OTP is 888146. OTP is valid for 10 minutes. Happy Shipping.",Service,,
iApp-3 4 BHK Study Servant Confirmed Allotment With Private Deck Jacuzzi Opp Trump Tower is completed by G Area 7 Club House 9990016,Promotional,,
iApp-EMAAR SCO PLOTS FOR SALE RERA APPROVED Sec 65GGN Two Sided Open Plots 100 Coverage is completed by Size 147 Sqyd 9582999599,Promotional,,
"Hey User, AXIS Bank- Get your Pre-qualified AXIS bank Card with a limit of upto Rs.3,75,000/-. Confirm your details Now : https://1kz5.com/2225/aaaem50vg4",Promotional,,
"Good News..!! Your Loan Amount for Rs.98,000/- Is Successfully Approved Check Your Loan Status: https://1kz5.com/2211/aaaem50vg4",Promotional,,
DTH DOST Gross : 30 NOV 23 at 17 HRS:? DOST GADI -0/0(0/0),Promotional,,
iApp-EMAAR SCO PLOTS FOR SALE RERA APPROVED Sec 65GGN Two Sided Open Plots 100 Coverage is completed by Size 147 Sqyd 9582999599,Promotional,,
"EMAAR SCO PLOTS FOR SALE RERA APPROVED, Sec 65GGN Two Sided Open Plots & 100% Coverage   is completed by   Size 147 Sqyd 9582999599 - PSCL",Promotional,,
"EMAAR SCO PLOTS FOR SALE RERA APPROVED, Sec 65GGN Two Sided Open Plots & 100% Coverage   is completed by   Size 147 Sqyd 9953289790  - PSCL",Promotional,,
"Dear Customer, Your KreditBee loan availed from KrazyBee, a RBI registered NBFC is overdue. Please make the payment and get 100% waiver on penalty & 100% waiver on interest. Valid for a limited period only.",Service,,
"Dear Dhobi, missed the IPO? GANDHAR is listed on the secondary market today. Invest in GANDHAR today - https://www.aonelink.in/slink/ksWaih. Regards - Angel One",Promotional,,
"EMAAR SCO PLOTS FOR SALE\n\nRERA APPROVED, Sec 65GGN\n\nTwo Sided Open Plots & 100% Coverage\n \nis completed by\n \nSize 147 Sqyd\n\n\n9582999599\n- PSCL",Promotional,,
"Dear Dhobi, missed the IPO? TATATECH is listed on the secondary market today. Invest in TATATECH today - https://www.aonelink.in/slink/ksWaih. Regards - Angel One",Promotional,,
"EMAAR SCO PLOTS FOR SALE RERA APPROVED, Sec 65GGN Two Sided Open Plots & 100% Coverage   is completed by   Size 147 Sqyd 9953289790  - PSCL",Promotional,,
The Train is running late by 03:27 hrs from the last destination station.It is likely to make up.Please check exact status from NTES or 139.Indian Railway,Promotional,,
"Limited-Edition-Residences
6.1-Acres freehold-Prime-Land.
Adjacent-to Viviana-Mall,.
991-2744Sq.Ft.,  from-2.48Cr.
E.-Brochure:-
https://wa.link/edition-limited",Promotional,,
"Dear Customer, Greetings! Request you to kindly ignore the communication with subject \""Testing\"" shared with you . This is  due to inadvertent technical error. We regret the inconvenience caused to you. Regards BHFL -BHFL",Promotional,,
tanpatti taj user your gaming wallet balamce is 300rs free trail,Promotional,,
"EMAAR SCO PLOTS FOR SALE  RERA APPROVED, Sec 65GGN Two Sided Open Plots & 100%  Coverage is completed by Size 147 Sqyd 9582999599 - PSCL",,,
"Update! Now Call on 18002106292 or Give a missed call on 7065263131 to complete your appln. for Personal Loan of Rs. 180,000. T&C. Bajaj Finance Ltd.",Promotional,,
"REMINDER!Check your exclusive Personal Loan offer of Rs.180,000 To avail, give a Call on 18002106292 Or Missed Call on 7065263131. T&C.Bajaj Finance Ltd",Promotional,,
"Akash,as existing wishfin customer,Ur PreApproved PersonalLoan offer of 301000 from Piramal Finance expiring in 7days.Apply wfds.in/45XrxmLaM -Wishfin",Promotional,,
